datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
3/15/1978 01:00,lolo,mt,us,light,180,maybe 2 - 3 minutes,The animals were in terror.,10/31/2003,46.7588889,-114.0800000
3/15/2011 12:00,glasgow,mt,us,circle,345600,3-4 days,((HOAX))  Alien dog fight.,5/29/2011,48.1969444,-106.6361111
3/16/2004 22:00,kalispell,mt,us,fireball,1800,30 minutes,Bright light getting brighter and shrinking to its&#39 center a beacon went back and forth across the sky.  ((NUFORC Note:  Venus.  PD)),3/17/2004,48.1958333,-114.3119444
3/20/1997 20:25,whitefish,mt,us,light,10,5-10 secs,orange lights (not shaped likeaircraft) about 1000 feet overheadfollowed closely by jet (wingsvisible naked eye).  Only soundsof one ai,3/7/1998,48.4111111,-114.3366667
3/20/2004 19:50,kalispell,mt,us,light,300,5 miutes,A slow large starlike&#44high object&#44followed us to driveway&#44stopped&#44then high speed flee into red speck lite,4/27/2004,48.1958333,-114.3119444
3/21/2004 20:30,lewistown,mt,us,fireball,180,3 minutes,Object with blueish tail impacts NW of Lewistown Montana,3/23/2004,47.0625000,-109.4275000
3/2/2002 20:20,malta,mt,us,fireball,180,approx.3 min.,bright orange-red ball in sky,3/19/2002,48.3597222,-107.8736111
3/2/2006 19:15,butte,mt,us,chevron,10,10 seconds,Triangle or boomerang shaped silent craft over Butte Montana March 2&#44 2006  19:15 local,3/11/2006,46.0038889,-112.5338889
3/24/2007 21:00,butte,mt,us,light,300,5 min,bright lights over butte &amp; rocker&#44 MT,4/27/2007,46.0038889,-112.5338889
3/24/2012 20:28,billings,mt,us,light,480,8 minutes,Approx. 7 lighted objects in a Northeast to Southwestern travel pattern above Billings Heights.,5/13/2012,45.7833333,-108.5000000
3/24/2014 21:39,poplar,mt,us,disk,14400,4 hours,I was at work at the jail when. I heard the 911 dispatch asked for 10 code for a UFO. So I called my husband right away and asked him i,3/27/2014,48.1130556,-105.1977778
3/26/2011 18:00,billings,mt,us,other,300,3-5 minutes,Silver oblong object in the sky&#44 turned to a light and back again.,4/3/2011,45.7833333,-108.5000000
3/27/2004 18:23,plains,mt,us,disk,2820,47 minutes,On March 27 6:23 P.M. me and jumbo saw two oval shaped and brightly lit saucers flying south over Plains Montana.,3/29/2004,47.4602778,-114.8819444
3/27/2012 22:51,bozeman,mt,us,triangle,600,apx 10 minutes,Triangular object moving SSE&#44 observed a week prior at same hour.,5/13/2012,45.6797222,-111.0377778
3/27/2012 23:00,big sky,mt,us,triangle,900,15 mins,Strange lights over Big Sky&#44 MT.,5/13/2012,45.2847222,-111.3675000
3/27/2012 23:00,bozeman,mt,us,unknown,180,2-3 minutes,UFO sighting in Bozeman Montana at approximately 11:00 pm on March 27th&#44 2012.,5/13/2012,45.6797222,-111.0377778
3/29/2008 20:00,butte,mt,us,teardrop,300,5 min,A big orb chases a smaller orb across the sky and disappears.,3/31/2008,46.0038889,-112.5338889
3/29/2012 02:00,clinton,mt,us,triangle,60,1 minute,Large triangular&#44 yellow object hovering above mountains near Clinton Mt.,5/13/2012,46.7691667,-113.7116667
3/30/2004 20:48,arlee,mt,us,unknown,120,2 minutes,Orange steady light&#44 white flashing light&#44 silent&#44 moving South above Arlee.,4/9/2004,47.1619444,-114.0841667
3/31/1987 23:00,east helena,mt,us,triangle,300,5 mins,Triange hovers over highway&#44 moves at increasing speed over highway then disappears,2/14/2006,46.5897222,-111.9147222
3/4/2008 22:30,missoula,mt,us,triangle,300,5 minutes,Reddish-Orange Object Above Blue Mountain - Missoula&#44 Montana,3/31/2008,46.8722222,-113.9930556
3/4/2013 04:06,harrison,mt,us,unknown,4,4 seconds,Unidentified light flashes.,4/12/2013,45.7008333,-111.7855556
