date,timestamp,year,month,count
1962-12,1962-12-01T00:00:00Z,1962,Dec,1
1963-1,1963-01-01T00:00:00Z,1963,Jan,2
1963-2,1963-02-01T00:00:00Z,1963,Feb,1
1963-3,1963-03-01T00:00:00Z,1963,Mar,1
1963-4,1963-04-01T00:00:00Z,1963,April,4
1963-5,1963-05-01T00:00:00Z,1963,May,4
1963-6,1963-06-01T00:00:00Z,1963,June,24
1963-7,1963-07-01T00:00:00Z,1963,July,18
1963-8,1963-08-01T00:00:00Z,1963,Aug,9
1963-10,1963-10-01T00:00:00Z,1963,Oct,4
1963-12,1963-12-01T00:00:00Z,1963,Dec,1
1964-1,1964-01-01T00:00:00Z,1964,Jan,2
1964-3,1964-03-01T00:00:00Z,1964,Mar,3
1964-4,1964-04-01T00:00:00Z,1964,April,4
1964-5,1964-05-01T00:00:00Z,1964,May,6
1964-6,1964-06-01T00:00:00Z,1964,June,21
1964-7,1964-07-01T00:00:00Z,1964,July,14
1964-8,1964-08-01T00:00:00Z,1964,Aug,12
1964-9,1964-09-01T00:00:00Z,1964,Sept,8
1964-10,1964-10-01T00:00:00Z,1964,Oct,4
1964-11,1964-11-01T00:00:00Z,1964,Nov,4
1965-1,1965-01-01T00:00:00Z,1965,Jan,3
1965-2,1965-02-01T00:00:00Z,1965,Feb,2
1965-3,1965-03-01T00:00:00Z,1965,Mar,2
1965-4,1965-04-01T00:00:00Z,1965,April,5
1965-5,1965-05-01T00:00:00Z,1965,May,8
1965-6,1965-06-01T00:00:00Z,1965,June,41
1965-7,1965-07-01T00:00:00Z,1965,July,30
1965-8,1965-08-01T00:00:00Z,1965,Aug,28
1965-9,1965-09-01T00:00:00Z,1965,Sept,9
1965-10,1965-10-01T00:00:00Z,1965,Oct,14
1965-11,1965-11-01T00:00:00Z,1965,Nov,8
1965-12,1965-12-01T00:00:00Z,1965,Dec,14
1966-1,1966-01-01T00:00:00Z,1966,Jan,2
1966-2,1966-02-01T00:00:00Z,1966,Feb,3
